subject,noise_type,task,freq_type,sum_raw,avg_raw,sum_filtered,avg_filtered,rel_pow
1,brown,nap,delta,361839889.2,1121.726764,210886450.6,653.7614645,0.582817033
1,brown,nap,theta,361839889.2,1121.726764,17565079.64,54.45286863,0.04854379
1,brown,nap,alpha,361839889.2,1121.726764,8474707.797,26.27213538,0.023421154
1,brown,nap,beta,361839889.2,1121.726764,12811153.57,39.71539419,0.035405587
1,brown,nap,gamma,361839889.2,1121.726764,4691778.619,14.54481334,0.012966449
1,brown,read,delta,806568485.7,2500.413814,578795951,1794.304411,0.717602983
1,brown,read,theta,806568485.7,2500.413814,46603716.45,144.4744972,0.057780235
1,brown,read,alpha,806568485.7,2500.413814,22619472.78,70.12181011,0.028044082
1,brown,read,beta,806568485.7,2500.413814,20509664.82,63.58127073,0.025428299
1,brown,read,gamma,806568485.7,2500.413814,7160434.935,22.19780557,0.008877653
1,pink,nap,delta,205827496.4,638.0783833,144223775.1,447.1029131,0.700702178
1,pink,nap,theta,205827496.4,638.0783833,20170606.65,62.53016873,0.097997629
1,pink,nap,alpha,205827496.4,638.0783833,8488641.714,26.31533141,0.041241534
1,pink,nap,beta,205827496.4,638.0783833,13625744.05,42.2406767,0.066199824
1,pink,nap,gamma,205827496.4,638.0783833,5436689.699,16.85408526,0.026413816
1,pink,read,delta,541002043,1677.140882,387142106.8,1200.165255,0.715601931
1,pink,read,theta,541002043,1677.140882,26032415.7,80.70215115,0.048118886
1,pink,read,alpha,541002043,1677.140882,12041769.8,37.33025537,0.02225827
1,pink,read,beta,541002043,1677.140882,16916506.3,52.44224985,0.03126884
1,pink,read,gamma,541002043,1677.140882,5564484.276,17.25025661,0.010285514
1,silent,nap,delta,196544233.7,703.0333936,91929980.4,328.8310467,0.46773176
1,silent,nap,theta,196544233.7,703.0333936,9859496.047,35.26714997,0.05016426
1,silent,nap,alpha,196544233.7,703.0333936,7313178.551,26.15904134,0.037208818
1,silent,nap,beta,196544233.7,703.0333936,14104835.12,50.45261269,0.071764177
1,silent,nap,gamma,196544233.7,703.0333936,5307775.556,18.98576921,0.027005501
1,silent,read,delta,864702618.7,2680.633339,464349879.8,1439.514281,0.537005289
1,silent,read,theta,864702618.7,2680.633339,26604918.4,82.47694607,0.030767709
1,silent,read,alpha,864702618.7,2680.633339,12832814.02,39.78254298,0.014840725
1,silent,read,beta,864702618.7,2680.633339,24965483.85,77.39459425,0.028871757
1,silent,read,gamma,864702618.7,2680.633339,14063072.19,43.59642188,0.016263478
1,white,nap,delta,181606847.5,562.992825,106371097.2,329.7571942,0.585721842
1,white,nap,theta,181606847.5,562.992825,14087333.94,43.67163486,0.0775705
1,white,nap,alpha,181606847.5,562.992825,7928818.526,24.57984378,0.043659249
1,white,nap,beta,181606847.5,562.992825,16823559.56,52.154109,0.092637253
1,white,nap,gamma,181606847.5,562.992825,7265374.836,22.52312597,0.040006062
1,white,read,delta,468924941.2,1453.697264,354367617,1098.562243,0.755702216
1,white,read,theta,468924941.2,1453.697264,37479213.32,116.1879548,0.079925826
1,white,read,alpha,468924941.2,1453.697264,15085999.44,46.76756168,0.032171459
1,white,read,beta,468924941.2,1453.697264,18837102.52,58.39622077,0.040170827
1,white,read,gamma,468924941.2,1453.697264,6743555.086,20.90545142,0.014380884
2,brown,nap,delta,298262847.7,924.6338754,127085273.3,393.9724629,0.426084825
2,brown,nap,theta,298262847.7,924.6338754,23060224.16,71.48816755,0.077315108
2,brown,nap,alpha,298262847.7,924.6338754,20966677.53,64.99803931,0.070295974
2,brown,nap,beta,298262847.7,924.6338754,17517338.99,54.30486956,0.058731214
2,brown,nap,gamma,298262847.7,924.6338754,7149718.576,22.16458418,0.023971201
2,brown,read,delta,395843326,1227.13959,181625561.7,563.0508401,0.458831941
2,brown,read,theta,395843326,1227.13959,30334593.02,94.03917556,0.076632827
2,brown,read,alpha,395843326,1227.13959,27286072.97,84.58856874,0.068931497
2,brown,read,beta,395843326,1227.13959,75233767.68,233.2294843,0.190059457
2,brown,read,gamma,395843326,1227.13959,59111281.48,183.2487475,0.149329994
2,pink,nap,delta,327484693.6,1015.223464,141319115.9,438.0982841,0.431528919
2,pink,nap,theta,327484693.6,1015.223464,26079588.78,80.84839071,0.079636054
2,pink,nap,alpha,327484693.6,1015.223464,15228856.51,47.21042771,0.046502499
2,pink,nap,beta,327484693.6,1015.223464,21469496.92,66.55681152,0.06555878
2,pink,nap,gamma,327484693.6,1015.223464,9358206.637,29.0110382,0.028576012
2,pink,read,delta,338714500.9,1050.036584,172576026.3,534.9967024,0.509502917
2,pink,read,theta,338714500.9,1050.036584,27612034.34,85.5990698,0.081520083
2,pink,read,alpha,338714500.9,1050.036584,23285654,72.18701445,0.068747142
2,pink,read,beta,338714500.9,1050.036584,55446557.66,171.8878696,0.16369703
2,pink,read,gamma,338714500.9,1050.036584,39154004.32,121.3799138,0.11559589
2,silent,nap,delta,281844550.5,873.7361056,97629278.39,302.6569978,0.346394061
2,silent,nap,theta,281844550.5,873.7361056,21307785.65,66.05549626,0.075601198
2,silent,nap,alpha,281844550.5,873.7361056,38046216.39,117.9457005,0.134990073
2,silent,nap,beta,281844550.5,873.7361056,20703946.75,64.1835571,0.073458744
2,silent,nap,gamma,281844550.5,873.7361056,7481577.316,23.19336746,0.026545049
2,silent,read,delta,3920419992,12153.55234,1460166913,4526.610678,0.372451655
2,silent,read,theta,3920419992,12153.55234,59921470,185.7603837,0.015284452
2,silent,read,alpha,3920419992,12153.55234,29539296.35,91.57370509,0.007534728
2,silent,read,beta,3920419992,12153.55234,74828061.09,231.971768,0.019086746
2,silent,read,gamma,3920419992,12153.55234,54860144.33,170.0699509,0.013993436
2,white,nap,delta,407447368.5,1263.112863,153253577.8,475.0958781,0.376130979
2,white,nap,theta,407447368.5,1263.112863,25148007.47,77.96042913,0.061720873
2,white,nap,alpha,407447368.5,1263.112863,15215625.39,47.16941041,0.037343781
2,white,nap,beta,407447368.5,1263.112863,20769590.95,64.38705832,0.050974905
2,white,nap,gamma,407447368.5,1263.112863,9509455.518,29.47991939,0.023339102
2,white,read,delta,747385211.6,2316.941885,339991588.7,1053.995637,0.454908103
2,white,read,theta,747385211.6,2316.941885,34614631.27,107.3075675,0.046314311
2,white,read,alpha,747385211.6,2316.941885,30375657.53,94.16647816,0.040642572
2,white,read,beta,747385211.6,2316.941885,80695893.01,250.1624217,0.107970952
2,white,read,gamma,747385211.6,2316.941885,59300022.65,183.8338572,0.079343318
3,brown,nap,delta,2281219630,7071.926534,1179089781,3655.253619,0.516868155
3,brown,nap,theta,2281219630,7071.926534,27386147.22,84.89880531,0.012005046
3,brown,nap,alpha,2281219630,7071.926534,46112388.69,142.9513497,0.020213919
3,brown,nap,beta,2281219630,7071.926534,32512629.57,100.791228,0.014252301
3,brown,nap,gamma,2281219630,7071.926534,17461817.19,54.13274844,0.007654597
3,brown,read,delta,811002820.6,2514.160535,552623142.1,1713.167032,0.681407177
3,brown,read,theta,811002820.6,2514.160535,54747169.47,169.7197216,0.067505523
3,brown,read,alpha,811002820.6,2514.160535,21180011.51,65.65938825,0.02611583
3,brown,read,beta,811002820.6,2514.160535,32469841.48,100.6585821,0.040036657
3,brown,read,gamma,811002820.6,2514.160535,16186914.21,50.18046776,0.019959134
3,pink,nap,delta,209598373.2,649.7683421,74922431.11,232.2643211,0.357457121
3,pink,nap,theta,209598373.2,649.7683421,12614865.99,39.10689016,0.060185896
3,pink,nap,alpha,209598373.2,649.7683421,44154634.63,136.8821871,0.21066306
3,pink,nap,beta,209598373.2,649.7683421,25753463.44,79.83738132,0.122870531
3,pink,nap,gamma,209598373.2,649.7683421,12222872.04,37.8916839,0.058315682
3,pink,read,delta,2712440724,8408.739466,1239343436,3842.043798,0.456910791
3,pink,read,theta,2712440724,8408.739466,57616426.88,178.6146028,0.021241543
3,pink,read,alpha,2712440724,8408.739466,24427562.03,75.72700226,0.00900575
3,pink,read,beta,2712440724,8408.739466,40978124.1,127.0348016,0.015107473
3,pink,read,gamma,2712440724,8408.739466,22834231.29,70.78757523,0.008418334
3,silent,nap,delta,3165079125,9811.947414,1567215366,4858.46772,0.495158353
3,silent,nap,theta,3165079125,9811.947414,28970578.42,89.81064319,0.009153192
3,silent,nap,alpha,3165079125,9811.947414,41169638.92,127.6285098,0.01300746
3,silent,nap,beta,3165079125,9811.947414,32401133.03,100.4455816,0.010237069
3,silent,nap,gamma,3165079125,9811.947414,22755232.66,70.54267441,0.007189467
3,silent,read,delta,900853683.8,2792.703949,250342176.4,776.0767339,0.27789438
3,silent,read,theta,900853683.8,2792.703949,20932421.98,64.89184492,0.023236206
3,silent,read,alpha,900853683.8,2792.703949,42593766.54,132.0433964,0.047281559
3,silent,read,beta,900853683.8,2792.703949,87783568.05,272.1346669,0.097444868
3,silent,read,gamma,900853683.8,2792.703949,47058222.99,145.8834965,0.052237365
3,white,nap,delta,265785153.9,823.9509506,100724311,312.2517963,0.378968913
