noise,task,freq,feature,t_levene,p_levene,ttest_val,p_val
brown,nap,beta,sum_filtered,1.0944454808438195,0.3357914766496189,0.8106251682706309,0.4485316342324114
brown,nap,theta,sum_filtered,0.3890972166517447,0.5557311214543165,-1.0902866272481557,0.31742532783244204
white,read,gamma,rel_pow,0.3664963631293392,0.567097940851446,-0.07592815357320158,0.9419446824600353
